NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
118,서울특별시 광진구 구의동,634-2,634,2,(634-2),전세,88.2,202605,7,"30,450",0,5,2001,자양로23길 83-6,202606~202806,갱신,-,"30,000",0.0,연립다세대,연립다세대,2026-05
119,경기도 안산시 상록구 부곡동,542-6,542,6,(542-6),월세,98.58,202605,7,"1,000",50,3,2000,정재로5길 9,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
120,서울특별시 광진구 중곡동,162-20,162,20,목화빌라,전세,97.19,202605,7,"28,360",0,3,2002,능동로43길 3-6,202605~202805,갱신,-,"27,011",0.0,연립다세대,연립다세대,2026-05
121,경기도 화성시 동탄구 송동,696,696,0,동탄레이크자이더테라스,월세,96.5618,202605,6,"29,000",60,3,2018,동탄순환대로1길 64,202606~202806,갱신,-,"29,000",55.0,연립다세대,연립다세대,2026-05
122,서울특별시 송파구 석촌동,294-16,294,16,세종주택(294-16),월세,91.43,202605,6,"37,800",10,5,2003,백제고분로40길 29-16,202606~202806,갱신,-,"37,800",5.0,연립다세대,연립다세대,2026-05
123,서울특별시 마포구 서교동,483-10,483,10,(483-10),전세,86.47,202605,6,"42,000",0,4,2002,월드컵로8길 45-3,202606~202806,갱신,사용,"40,000",0.0,연립다세대,연립다세대,2026-05
124,경기도 구리시 교문동,261-2,261,2,부영맨션(C동),전세,93.4,202605,6,"27,500",0,3,1998,경춘로 125-2,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
125,제주특별자치도 서귀포시 강정동,3373,3373,0,제주펜트하우스,전세,91.38,202605,5,"12,000",0,2,2004,일주서로 166-58,202605~202805,갱신,사용,"12,000",0.0,연립다세대,연립다세대,2026-05
126,경기도 화성시 동탄구 송동,696,696,0,동탄레이크자이더테라스,월세,96.5618,202605,4,"31,500",68,4,2018,동탄순환대로1길 64,202606~202806,갱신,-,"31,500",62.0,연립다세대,연립다세대,2026-05
127,제주특별자치도 서귀포시 강정동,3373,3373,0,제주펜트하우스,월세,90.93,202605,4,500,83,2,2004,일주서로 166-58,202606~202805,신규,-,,,연립다세대,연립다세대,2026-05
128,경기도 안산시 상록구 본오동,822-9,822,9,(822-9),월세,91.15,202605,4,"2,500",110,4,2019,각골서로2안길 33-1,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
129,경상북도 포항시 남구 대도동,6-1,6,1,"현대맨션(다,라)",전세,89.85,202605,4,"9,000",0,2,1979,중앙로121번길 46,202607~203007,신규,-,,,연립다세대,연립다세대,2026-05
