품목명,Tier,가중치,MAPE%,방향적중률
키친타월,A,1.0,1.2978418587445435,0.5
방향제,A,0.3,1.021423532913527,0.0
습기제거제,A,0.1,0.5036005516636457,0.5
가사도우미료,A,2.4,0.19188688009351043,1.0
간병도우미료,A,2.6,0.5135076661953017,0.8333333333333334
감기약,A,0.4,0.05426737607559028,0.3333333333333333
진통제,A,0.4,0.12305200773211615,0.8333333333333334
소화제,A,0.3,0.07166145061261485,0.3333333333333333
위장약,A,0.2,0.1265743115036247,1.0
진해거담제,A,0.2,0.22224502110648348,0.16666666666666666
소염진통제,A,0.6,0.04770037934725504,0.5
피부질환제,A,0.3,0.16475122540435647,0.5
치과구강용약,A,0.3,0.053453625107834364,0.5
조제약,A,5.8,0.07375167560885024,0.3333333333333333
한방약,A,2.7,0.18082415240811972,0.16666666666666666
인삼,A,0.3,1.2681391916839495,1.0
홍삼,A,1.1,4.991676052809008,0.0
비타민제,A,1.2,0.11542834828129153,0.8333333333333334
건강기능식품,A,6.5,0.49710408567921754,0.16666666666666666
유산균,A,1.2,0.8838680283079662,0.3333333333333333
병원약품,A,3.5,0.08902276777294924,0.3333333333333333
종이기저귀,A,1.4,0.6615448668551503,0.16666666666666666
생리대,A,1.0,3.450294394986098,0.16666666666666666
마스크,A,1.6,0.1822920281273443,0.3333333333333333
반창고,A,0.1,0.15256883308891275,0.8333333333333334
안경,A,1.0,0.09829200337343413,0.6666666666666666
콘택트렌즈,A,1.4,0.5098003602529062,0.8333333333333334
의료측정기,A,0.2,0.2716513432734712,0.8333333333333334
보청기,A,0.6,0.03467884074585447,0.0
건강기기렌탈비,A,1.5,2.8214073581497234,0.6666666666666666
치료재료,A,1.5,0.6266430818658991,0.16666666666666666
건강검진비,A,1.2,0.24724569988955394,0.5
치과보철료,A,6.8,0.26569065481941345,0.8333333333333334
병원검사료,A,1.1,0.34478634705509437,0.5
소형승용차,A,1.0,0.4383016111678713,0.0
중형승용차,A,1.0,0.6687655437450097,0.3333333333333333
대형승용차,A,3.2,1.978632390260752,0.5
경승용차,A,0.6,0.27453263007115897,0.16666666666666666
다목적승용차,A,7.7,0.39456608425344347,0.0
수입승용차,A,9.3,0.8479395166313397,0.3333333333333333
전기동력차,A,5.1,1.7315815140093445,0.3333333333333333
자전거,A,0.5,0.3366283891355863,1.0
자동차용품,A,0.9,1.1566248551601521,0.3333333333333333
블랙박스,A,0.2,0.8397180609116742,0.5
자동차타이어,A,0.9,0.20754641315389183,0.3333333333333333
자동차수리비,A,6.3,0.5492648771320259,1.0
엔진오일교체료,A,1.0,2.0933113090844286,0.6666666666666666
세차료,A,0.5,0.2862927532625387,0.8333333333333334
자동차학원비,A,0.5,0.08794016669122022,0.6666666666666666
