품목명,Tier,가중치,모델,MAPE%
미용료,A,7.3,비계절ETS,0.1370226838094027
뷰티미용료,A,2.2,비계절ETS,0.18662076314494613
면도기,A,0.4,비계절ETS,1.1248566100620512
헤어드라이어,A,0.7,비계절ETS,1.9122789251444843
칫솔,A,0.4,비계절ETS,1.659666723520731
치약,A,0.5,비계절ETS,2.130310673688711
비누,A,0.3,비계절ETS,1.2521161145866053
샴푸,A,1.0,비계절ETS,0.9116063407334037
바디워시,A,0.5,비계절ETS,2.38578916010119
화장지,A,1.3,비계절ETS,0.7313526722488349
기초화장품,A,4.5,비계절ETS,0.7421540738116432
기능성화장품,A,3.7,비계절ETS,0.4250295065062442
색조화장품,A,0.7,비계절ETS,0.2992176253599986
모발염색약,A,0.7,비계절ETS,3.22680713492835
구강세정제,A,0.2,비계절ETS,2.985527427052755
손목시계,A,0.6,비계절ETS,1.2680367930213354
장신구,A,1.0,비계절ETS,0.34281422630756375
가방,A,2.7,비계절ETS,0.3787480972202353
핸드백,A,1.4,비계절ETS,2.1044693415354403
우산,A,0.2,비계절ETS,0.21474223152821562
유모차,A,0.2,비계절ETS,0.25839099884265454
선글라스,A,0.4,비계절ETS,0.2292784481497359
지갑,A,0.5,비계절ETS,3.3764907745474433e-06
산후조리원이용료,A,0.7,비계절ETS,0.22591416935728661
보험서비스료,A,8.6,비계절ETS,1.4089885802877138
자동차보험료,A,3.7,비계절ETS,0.14413892600307096
금융수수료,A,0.2,비계절ETS,0.0008845343401198136
대입전형료,A,0.1,비계절ETS,0.7050054273498011
시험응시료,A,0.4,비계절ETS,0.12041013345895633
장례비,A,2.6,비계절ETS,0.1719777994744266
갈치,B,1.1,계절ETS,2.672721682178844
명태,B,0.7,계절ETS,1.9945793940011722
조기,B,0.9,계절ETS,0.7161242971140126
고등어,B,2.0,계절ETS,1.7469633807361626
오징어,B,1.0,계절ETS,1.7176418138786247
게,B,0.9,계절ETS,1.053677092241462
굴,B,0.4,계절ETS,2.2914413985763327
조개,B,0.6,계절ETS,1.3260459510604141
전복,B,0.5,계절ETS,2.119291704919822
새우,B,0.7,계절ETS,0.7015496515544993
낙지,B,0.5,계절ETS,0.6194002286045137
사과,B,2.3,계절ETS,2.0746156416322967
배,B,0.7,계절ETS,5.058951032772943
복숭아,B,1.0,계절ETS,2.503151657839009
포도,B,1.4,계절ETS,1.9511478962773483
밤,B,0.2,계절ETS,1.6513079683765575
감,B,0.5,계절ETS,2.1498748690318346
귤,B,1.8,계절ETS,2.8955795221132927
오렌지,B,0.4,계절ETS,2.547751777243762
참외,B,1.0,계절ETS,6.589514160856016
수박,B,1.0,계절ETS,2.616973438026606
딸기,B,1.5,계절ETS,5.2190989909613466
바나나,B,0.8,계절ETS,1.7909752067348796
키위,B,0.4,계절ETS,2.2842882634888735
블루베리,B,0.4,계절ETS,0.669014395442153
망고,B,0.4,계절ETS,4.898711158706617
체리,B,0.3,계절ETS,6.470173938770915
아보카도,B,0.1,계절ETS,4.83586542184874
파인애플,B,0.2,계절ETS,2.8569496669583034
배추,B,1.3,계절ETS,7.946164118520355
상추,B,0.6,계절ETS,10.716250886542882
시금치,B,0.3,계절ETS,15.632145579883876
양배추,B,0.2,계절ETS,6.39943219211064
미나리,B,0.2,계절ETS,5.169940713257444
깻잎,B,0.2,계절ETS,6.0480100497636435
부추,B,0.2,계절ETS,12.666603801167147
무,B,0.6,계절ETS,9.511552929512565
열무,B,0.2,계절ETS,8.595224164925686
당근,B,0.3,계절ETS,4.2060015260721615
감자,B,0.6,계절ETS,4.5240646062544085
고구마,B,1.0,계절ETS,2.5762188152842254
도라지,B,0.1,계절ETS,0.5173364479410122
콩나물,B,0.5,계절ETS,0.41173497333738035
버섯,B,0.9,계절ETS,3.2144019203487684
오이,B,0.6,계절ETS,7.963282245652539
풋고추,B,0.6,계절ETS,6.59431511278731
호박,B,0.5,계절ETS,15.870880728304313
가지,B,0.2,계절ETS,7.351351569376361
토마토,B,1.3,계절ETS,7.13107792278272
파,B,0.9,계절ETS,11.250208075470347
양파,B,0.7,계절ETS,3.704113081460509
마늘,B,1.3,계절ETS,1.3038611372224738
브로콜리,B,0.2,계절ETS,7.873845836230014
파프리카,B,0.6,계절ETS,10.568398917832331
생강,B,0.1,계절ETS,4.243954496452045
담배,C,9.3,비계절ETS,0.07995578186777988
하수도료,C,3.1,비계절ETS,0.7873914395021102
쓰레기봉투료,C,0.7,비계절ETS,0.09110579516826438
정화조청소료,C,0.5,비계절ETS,0.29343827655436017
외래진료비,C,20.5,계절ETS,0.05132374201698373
한방진료비,C,1.0,계절ETS,0.2335115628448724
약국조제료,C,1.8,계절ETS,0.07281364232514019
치과진료비,C,6.1,계절ETS,0.11012171987362455
입원진료비,C,10.2,계절ETS,0.11124122355257389
도로통행료,C,1.7,비계절ETS,0.13950794913686673
