품목코드,품목명,Tier,가중치,모델,pred_2026-09,보정치(레벨),보정후_pred_2026-09
E011060,의자,A,0.4,비계절ETS,120.38374402168093,0.0,120.38374402168093
E011070,식탁,A,0.9,비계절ETS,130.68024691475227,0.0,130.68024691475227
E011080,싱크대,A,1.3,비계절ETS,158.30718885945913,0.8771144226887438,157.7809202058459
E021010,침구,A,2.6,완전동결(검증됨),117.05,0.18401795427636833,116.93958922743417
E021020,커튼,A,0.4,비계절ETS,108.4293907553679,0.0,108.4293907553679
E031010,전기밥솥,A,0.5,비계절ETS,98.158008756428,0.0,98.158008756428
E031020,가스레인지,A,0.4,비계절ETS,106.37053632400522,0.0,106.37053632400522
E031030,전자레인지,A,0.1,비계절ETS,106.44382266586776,-1.5327438834325473,107.36346899592729
E031040,전기레인지,A,0.2,비계절ETS,103.44963657960471,-0.3301329153227452,103.64771632879837
E031050,냉장고,A,2.4,비계절ETS,100.60703072223833,0.0,100.60703072223833
E031060,김치냉장고,A,1.1,비계절ETS,111.00545919697045,-0.4805355845571384,111.29378054770473
E031070,에어컨,A,1.5,비계절ETS,116.85677533068797,-1.5060693229046767,117.76041692443077
E031080,선풍기,A,0.4,비계절ETS,89.72572705962669,0.0,89.72572705962669
E031090,공기청정기,A,0.6,비계절ETS,91.33928349232079,0.0,91.33928349232079
E031100,세탁기,A,1.0,비계절ETS,103.02067990183873,-0.5704122784611153,103.3629272689154
E031110,의류건조기,A,1.1,비계절ETS,112.20992723548032,0.0,112.20992723548032
E031120,식기세척기,A,0.2,비계절ETS,101.71335746276388,0.0,101.71335746276388
E031130,청소기,A,1.1,비계절ETS,100.0525743778734,0.0,100.0525743778734
E031140,소형주방가전,A,0.8,비계절ETS,115.33965486414964,0.0,115.33965486414964
E031150,보온매트,A,0.4,비계절ETS,114.89413893578069,0.0,114.89413893578069
E032010,가전제품수리비,A,2.4,비계절ETS,161.95820685932534,0.0,161.95820685932534
E032020,가전제품렌탈비,A,2.5,비계절ETS,97.21411244109217,0.0,97.21411244109217
E041010,식기,A,0.8,비계절ETS,131.05715076768237,0.0,131.05715076768237
E041020,컵,A,0.5,비계절ETS,107.39878230284661,0.0,107.39878230284661
E041030,솥,A,0.2,비계절ETS,123.71462633378617,0.0,123.71462633378617
E041040,프라이팬,A,0.6,비계절ETS,132.4345905483348,0.0,132.4345905483348
E041050,냄비,A,0.5,비계절ETS,129.15830056215054,0.0,129.15830056215054
E041060,수저,A,0.3,비계절ETS,115.3639417845257,0.0,115.3639417845257
E041070,밀폐용기,A,0.7,비계절ETS,125.72814058372914,0.0,125.72814058372914
E041080,부엌용용구,A,0.4,비계절ETS,131.62678785457229,-1.689463950877948,132.64046622509906
E051010,보일러,A,1.5,비계절ETS,121.15026441959732,0.0,121.15026441959732
E051020,건전지,A,0.3,비계절ETS,150.91313245317238,0.0,150.91313245317238
E051030,소형가사용품,A,1.3,비계절ETS,118.88946692885207,0.0,118.88946692885207
E061010,세탁세제,A,1.7,비계절ETS,128.11549441967674,0.0,128.11549441967674
E061020,섬유유연제,A,0.1,비계절ETS,155.50006470087172,0.0,155.50006470087172
E061030,전구,A,0.2,비계절ETS,110.27471561133495,0.0,110.27471561133495
E061040,부엌용세제,A,0.6,비계절ETS,122.92181392892847,0.0,122.92181392892847
E061050,청소용세제,A,0.2,비계절ETS,144.14131865026488,0.0,144.14131865026488
E061060,살충제,A,0.3,비계절ETS,131.3436069475416,0.0,131.3436069475416
E061070,가정용비닐용품,A,0.6,비계절ETS,159.3220588611969,0.0,159.3220588611969
E061080,키친타월,A,1.0,비계절ETS,136.17977635068831,0.0,136.17977635068831
E061090,방향제,A,0.3,비계절ETS,133.84370304347962,0.0,133.84370304347962
E061100,습기제거제,A,0.1,비계절ETS,143.73243510644818,0.0,143.73243510644818
E062010,가사도우미료,A,2.4,비계절ETS,124.15431836870034,0.0,124.15431836870034
E062020,간병도우미료,A,2.6,계절ETS,145.81750771807387,0.0,145.81750771807387
F011010,감기약,A,0.4,비계절ETS,128.38652108443875,0.0,128.38652108443875
F011020,진통제,A,0.4,비계절ETS,119.9422916413467,0.0,119.9422916413467
F011030,소화제,A,0.3,비계절ETS,123.39250257421467,0.0,123.39250257421467
F011040,위장약,A,0.2,비계절ETS,108.16793217620747,-0.11809404986921379,108.238788606129
F011050,진해거담제,A,0.2,비계절ETS,115.0720302979035,0.0,115.0720302979035
F011060,소염진통제,A,0.6,비계절ETS,115.54987171831095,0.0,115.54987171831095
F011070,피부질환제,A,0.3,비계절ETS,115.5439715639528,0.0,115.5439715639528
F011080,치과구강용약,A,0.3,비계절ETS,112.09291361045067,0.0,112.09291361045067
F011090,조제약,A,5.8,비계절ETS,92.4072005424546,0.0,92.4072005424546
F011100,한방약,A,2.7,비계절ETS,134.47256750550528,0.0,134.47256750550528
F011110,인삼,A,0.3,비계절ETS,133.17440347366684,-1.2686540136489814,133.93559588185624
F011120,홍삼,A,1.1,비계절ETS,109.53359698722814,0.0,109.53359698722814
F011130,비타민제,A,1.2,비계절ETS,113.70404406748227,-0.13924867432051968,113.78759327207459
F011140,건강기능식품,A,6.5,비계절ETS,102.68736784541662,0.10670846099009641,102.62334276882255
F011150,유산균,A,1.2,완전동결(검증됨),90.83,0.0,90.83
F011160,병원약품,A,3.5,비계절ETS,92.15796281027231,0.0,92.15796281027231
F012010,종이기저귀,A,1.4,비계절ETS,116.94845501091373,0.0,116.94845501091373
F012020,생리대,A,1.0,비계절ETS,110.40036171466795,0.0,110.40036171466795
F012030,마스크,A,1.6,비계절ETS,70.45386202584231,0.0,70.45386202584231
