품목명,Tier,가중치,모델,MAPE%,품목코드,대분류
자동차수리비,A,6.3,비계절ETS,0.3694325909858889,G022040,07 교통
엔진오일교체료,A,1.0,비계절ETS,1.2737874483221154,G022050,07 교통
세차료,A,0.5,비계절ETS,0.2983866332221006,G022060,07 교통
자동차학원비,A,0.5,비계절ETS,0.1066298686739149,G023010,07 교통
주차료,A,1.2,비계절ETS,0.1850075318607965,G023020,07 교통
승용차임차료,B,3.2,계절ETS,10.339972548275371,G023040,07 교통
대리운전이용료,A,0.4,비계절ETS,0.1260503731046907,G023050,07 교통
자동차검사료,A,0.3,비계절ETS,0.0,G023060,07 교통
국내항공료,B,1.0,계절ETS,4.562992194861423,G033010,07 교통
여객선료,A,0.2,비계절ETS,1.2694017169422227,G033030,07 교통
이삿짐운송료,A,1.0,비계절ETS,0.4529135554298313,G034010,07 교통
택배이용료,A,1.9,비계절ETS,0.1056961345241832,G034020,07 교통
휴대전화기,A,10.4,비계절ETS,0.4682818971282703,H021010,08 통신
휴대전화기수리비,A,0.4,비계절ETS,1.6998081908681693,H031040,08 통신
TV,A,1.9,비계절ETS,1.6801364441479236,I011010,09 오락및문화
영상음향기기,A,0.9,비계절ETS,1.4502697594537246,I011020,09 오락및문화
컴퓨터,A,3.0,비계절ETS,2.168777597323992,I012010,09 오락및문화
컴퓨터수리비,A,0.1,비계절ETS,1.9308408891825013,I012020,09 오락및문화
휴대용멀티미디어기기,A,1.2,비계절ETS,1.5946350559963929,I012030,09 오락및문화
컴퓨터소모품,A,0.7,비계절ETS,0.8873331737492448,I012040,09 오락및문화
저장장치,A,0.1,비계절ETS,2.968489093140473,I012050,09 오락및문화
악기,A,0.3,비계절ETS,0.1777292002568274,I021010,09 오락및문화
헬스기구,A,1.1,비계절ETS,1.7938738056300296,I021020,09 오락및문화
장난감,A,2.9,비계절ETS,0.722512163597108,I031010,09 오락및문화
레저용품,A,1.6,비계절ETS,0.7140780957537176,I031020,09 오락및문화
운동용품,A,2.1,비계절ETS,1.936925197221784,I031030,09 오락및문화
화초,A,0.7,비계절ETS,5.446906465998976,I031040,09 오락및문화
원예용품,A,0.4,비계절ETS,0.2364469017579042,I031050,09 오락및문화
반려동물용품,A,3.3,비계절ETS,0.6760222031410174,I031060,09 오락및문화
반려동물관리비,A,2.6,비계절ETS,0.094747055923098,I031070,09 오락및문화
수영장이용료,A,0.2,비계절ETS,0.124653791977297,I041010,09 오락및문화
볼링장이용료,A,0.2,비계절ETS,0.1121397282981237,I041020,09 오락및문화
헬스클럽이용료,A,1.5,비계절ETS,0.131331003628952,I041030,09 오락및문화
골프연습장이용료,A,2.3,비계절ETS,0.0943336873313313,I041040,09 오락및문화
골프장이용료,A,3.0,비계절ETS,0.512498150470747,I041050,09 오락및문화
당구장이용료,A,0.5,비계절ETS,0.0887989813883349,I041060,09 오락및문화
노래방이용료,A,0.5,비계절ETS,0.1747064511182688,I041070,09 오락및문화
PC방이용료,A,0.3,비계절ETS,0.1358617574253965,I041080,09 오락및문화
놀이시설이용료,A,2.3,비계절ETS,1.7047966911477364,I041090,09 오락및문화
운동경기관람료,A,0.2,비계절ETS,0.4909344609137325,I041100,09 오락및문화
영화관람료,A,1.0,비계절ETS,0.0001208647119415,I042010,09 오락및문화
공연예술관람료,A,0.7,비계절ETS,0.4168535717788779,I042020,09 오락및문화
관람시설이용료,A,0.6,비계절ETS,0.3398221711036022,I042030,09 오락및문화
독서실비,A,0.8,비계절ETS,0.2106312269845121,I042040,09 오락및문화
문화강습료,A,0.9,비계절ETS,0.108052888590661,I042050,09 오락및문화
온라인콘텐츠이용료,A,8.0,비계절ETS,0.1101854109552642,I042060,09 오락및문화
사진서비스료,A,1.7,비계절ETS,0.7337799370249386,I042080,09 오락및문화
유아용학습교재,A,0.3,비계절ETS,0.276032743548375,I051010,09 오락및문화
초등학교학습서,A,0.6,비계절ETS,0.2253139287847345,I051020,09 오락및문화
중학교학습서,A,0.6,비계절ETS,1.3425082693656476,I051030,09 오락및문화
고등학교학습서,A,0.6,비계절ETS,0.370472339427057,I051040,09 오락및문화
대학교재,A,0.2,비계절ETS,0.1094633851956798,I051050,09 오락및문화
서적,A,1.5,비계절ETS,0.3035955958971481,I051060,09 오락및문화
신문,A,0.4,비계절ETS,0.0647954235396804,I052010,09 오락및문화
종이문구,A,0.5,비계절ETS,0.4223448827563037,I053010,09 오락및문화
기타문구,A,0.1,비계절ETS,0.595166224306119,I053020,09 오락및문화
필기구,A,0.4,비계절ETS,0.4098333657090824,I053030,09 오락및문화
회화용구,A,0.2,비계절ETS,0.1912012963435866,I053040,09 오락및문화
국내단체여행비,A,2.0,비계절ETS,6.282336174161912,I061010,09 오락및문화
해외단체여행비,A,5.5,비계절ETS,4.747881969231313,I061020,09 오락및문화
초등학생학원비,A,7.6,비계절ETS,0.1298104232383111,J041010,10 교육
중학생학원비,A,13.8,비계절ETS,0.1162766364357437,J041020,10 교육
고등학생학원비,A,13.8,비계절ETS,0.0992820989103251,J041030,10 교육
음악학원비,A,3.0,비계절ETS,0.1257722589008962,J041040,10 교육
미술학원비,A,2.6,비계절ETS,0.1469096433516738,J041050,10 교육
운동학원비,A,5.7,비계절ETS,0.2352131728685572,J041060,10 교육
전산학원비,A,0.5,비계절ETS,0.1239963258219499,J041070,10 교육
가정학습지,A,3.5,비계절ETS,0.4987404614252557,J041080,10 교육
이러닝이용료,A,0.7,비계절ETS,0.5912786707390855,J041090,10 교육
학교보충교육비,A,1.4,비계절ETS,0.773613233237747,J041100,10 교육
기타학원비,A,0.2,비계절ETS,0.0790637417396447,J041110,10 교육
취업학원비,A,2.0,비계절ETS,0.4054137820883332,J042010,10 교육
외국어학원비,A,0.5,비계절ETS,0.1605128447432523,J042020,10 교육
운동강습료,A,3.7,비계절ETS,0.082580473761473,J042030,10 교육
김치찌개백반,A,4.8,비계절ETS,0.1617851735014705,K011010,11 음식및숙박
된장찌개백반,A,4.3,비계절ETS,0.1792722794211144,K011020,11 음식및숙박
비빔밥,A,2.4,비계절ETS,0.2001059889490375,K011030,11 음식및숙박
설렁탕,A,2.0,비계절ETS,0.1924235625102202,K011040,11 음식및숙박
