품목명,Tier,가중치,MAPE_보정전,MAPE_보정후,개선
소주,A,1.7,0.07746211972527066,0.0808568069347386,-0.0033946872094679365
과실주,A,0.8,2.1085449910461254,2.0727767689539123,0.03576822209221309
맥주,A,3.0,0.14616983719678053,0.14120231299981711,0.004967524196963419
막걸리,A,0.5,0.13025389029898388,0.13025389029898388,0.0
양주,A,0.4,3.43634899644669,3.43634899644669,0.0
약주,A,0.1,0.0751371578210799,0.0751371578210799,0.0
남자외의,A,4.4,0.20734986260663152,0.12490376870169637,0.08244609390493515
남자상의,A,1.5,0.2459017781344109,0.23288956565354,0.013012212480870894
남자하의,A,1.3,0.17722634096409387,0.10453532571805585,0.07269101524603802
남자내의,A,0.7,0.14183211410224003,0.14183211410224003,0.0
여자외의,A,6.2,0.42214176308579204,0.39900920628544256,0.02313255680034948
원피스,A,1.8,0.6659681016094726,0.6015963665887188,0.06437173502075377
여자상의,A,1.5,0.24327337896802806,0.23824969462797316,0.005023684340054901
여자하의,A,2.4,0.4273109630710629,0.3706875041124911,0.05662345895857185
여자내의,A,1.8,0.1298641922269601,0.13838172562831141,-0.008517533401351307
점퍼,A,3.3,0.562952336044879,0.5503342402022372,0.012618095842641841
티셔츠,A,4.6,0.1525320630243196,0.05269498199558896,0.09983708102873064
스웨터,A,0.6,0.12932474511356967,0.10190729868784967,0.02741744642572
청바지,A,1.6,0.512321461172197,0.4956229549205683,0.01669850625162872
운동복,A,2.3,0.305860701548156,0.2818271907733698,0.02403351077478616
등산복,A,0.5,0.29164045511062986,0.29164045511062986,0.0
유아동복,A,4.6,0.3228326654096667,0.31109504478116473,0.011737620628501977
양말,A,0.9,0.11364222456651688,0.11814130970142836,-0.004499085134911485
모자,A,0.6,0.052798782765701255,0.020502022289184182,0.03229676047651707
장갑,A,0.2,0.6113801649656123,0.5889045190213303,0.022475645944281974
의복수선료,A,0.2,0.4126282449613035,0.419911949965893,-0.007283705004589469
세탁료,A,1.1,0.6823130237257762,0.6823130237257762,0.0
아동화,A,0.9,0.16239795879473984,0.07269263864893523,0.08970532014580461
구두,A,2.0,0.8135929204496427,0.3475316091629654,0.4660613112866773
운동화,A,4.4,0.2854807703897914,0.3149894274134158,-0.029508657023624374
실내화,A,0.2,0.1191328024935537,0.1252224430235553,-0.006089640530001619
전세,A,54.2,0.03002519204570217,0.03002519204570217,0.0
월세,A,44.9,0.02300764084738004,0.02300764084738004,0.0
주택수선재료,A,3.4,0.3938858864607249,0.3984928211293102,-0.004606934668585305
설비수리비,A,5.9,0.1001365406763585,0.10298470499645124,-0.0028481643200927442
상수도료,A,4.5,0.21532944838551804,0.2314740252605749,-0.016144576875056854
공동주택관리비,A,21.8,0.6535087496198269,0.6924905065582991,-0.03898175693847228
장롱,A,1.3,0.3631768317589139,0.32806424036450416,0.03511259139440975
침대,A,2.7,0.5510049734026069,0.46514878443823643,0.08585618896437047
거실장,A,0.4,0.2919281806491828,0.25685843229583094,0.03506974835335186
소파,A,1.3,1.5266121191148452,1.5266121191148452,0.0
책상,A,0.4,0.2941833231234038,0.29741384329830445,-0.003230520174900664
의자,A,0.4,0.6073411498197793,0.6017810611180785,0.005560088701700772
식탁,A,0.9,0.6903442232457035,0.6860949254889848,0.004249297756718784
싱크대,A,1.3,1.0469257224542077,1.0264708532338331,0.02045486922037454
침구,A,2.6,0.15487962963917948,0.07867750782424368,0.0762021218149358
커튼,A,0.4,0.40207087696328475,0.39371563519116454,0.008355241772120214
