월,분류,방식,예측,실제,오차,오차%
2025-09,01 식료품 및 비주류음료,바텀업,130.0765702926752,128.82,1.2565702926752067,0.9754465864580086
2025-09,02 주류 및 담배,바텀업,104.94822717429325,105.05,-0.10177282570674606,-0.09688036716491773
2025-09,03 의류 및 신발,바텀업,116.45258704230895,116.48,-0.02741295769105534,-0.023534476039710973
2025-09,"04 주택, 수도, 전기 및 연료",바텀업,115.17181650442588,116.71,-1.538183495574117,-1.31795347063158
2025-09,05 가정용품 및 가사 서비스,바텀업,119.98619557072058,118.69,1.2961955707205846,1.0920849024522576
2025-09,06 보건,바텀업,105.9512234240488,105.49,0.46122342404881067,0.43722004365229944
2025-09,07 교통,바텀업,116.1014484416747,115.21,0.8914484416747115,0.7737596056546406
2025-09,08 통신,바텀업,94.07632878814987,101.38,-7.30367121185013,-7.204252526977836
2025-09,09 오락 및 문화,바텀업,111.07934582948481,109.58,1.4993458294848097,1.368265951345875
2025-09,10 교육,바텀업,109.3366345376879,108.61,0.7266345376879002,0.6690309710780777
2025-09,11 음식 및 숙박,바텀업,125.44693723769876,125.05,0.396937237698765,0.31742282103059977
2025-09,12 기타 상품 및 서비스,바텀업,125.1766002323198,125.17,0.006600232319797783,0.00527301455604201
2025-10,01 식료품 및 비주류음료,탑다운,127.91440062454457,128.88,-0.965599375455426,-0.7492235998257496
2025-10,02 주류 및 담배,탑다운,104.95331664766827,105.1,-0.14668335233172058,-0.13956551125758382
